"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","GET /users - Should fetch all users successfully","chromium","2026-09-13","passed","2026-09-13","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","70","POST /users - Should create a new user entity","chromium","2026-09-13","passed","2026-09-13","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","1144","should sort products by price (Low to High)","chromium","2026-09-13","passed","2026-09-13","SauceDemo: Advanced Inventory Workflows","ui/inventory.spec.ts","",""
"","61","GET /users/999 - Should return 404 for non-existent user","chromium","2026-09-13","passed","2026-09-13","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","837","authenticate","setup","2026-09-13","passed","2026-09-13","","auth.setup.ts","",""
"","69","PATCH /users/1 - Should partially update user email","chromium","2026-09-13","passed","2026-09-13","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","213","PUT /users/1 - Should perform a full update of an existing user","chromium","2026-09-13","passed","2026-09-13","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","1035","should toggle button state between ""Add to cart"" and ""Remove""","chromium","2026-09-13","passed","2026-09-13","SauceDemo: Advanced Inventory Workflows","ui/inventory.spec.ts","",""
"","160","DELETE /users/1 - Should remove the user resource","chromium","2026-09-13","passed","2026-09-13","JSONPlaceholder API: User Management","api/users.spec.ts","",""
