"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","POST /users - Should create a new user entity","chromium","2026-01-04","passed","2026-01-04","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","208","DELETE /users/1 - Should remove the user resource","chromium","2026-01-04","passed","2026-01-04","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","966","should sort products by price (Low to High)","chromium","2026-01-04","passed","2026-01-04","SauceDemo: Advanced Inventory Workflows","ui/inventory.spec.ts","",""
"","1015","should toggle button state between ""Add to cart"" and ""Remove""","chromium","2026-01-04","passed","2026-01-04","SauceDemo: Advanced Inventory Workflows","ui/inventory.spec.ts","",""
"","125","PATCH /users/1 - Should partially update user email","chromium","2026-01-04","passed","2026-01-04","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","118","GET /users - Should fetch all users successfully","chromium","2026-01-04","passed","2026-01-04","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","54","GET /users/999 - Should return 404 for non-existent user","chromium","2026-01-04","passed","2026-01-04","JSONPlaceholder API: User Management","api/users.spec.ts","",""
"","755","authenticate","setup","2026-01-04","passed","2026-01-04","","auth.setup.ts","",""
"","378","PUT /users/1 - Should perform a full update of an existing user","chromium","2026-01-04","passed","2026-01-04","JSONPlaceholder API: User Management","api/users.spec.ts","",""
